date,ticker,ALPHA_OVERRIDABLE,ASSET_CVRG_RATIO,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_4Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,BEST_ANALYST_RATING,BEST_BPS,BEST_CPS,BEST_CUR_EV_TO_EBITDA,BEST_EBIT,BEST_EBITDA,BEST_EPS,BEST_EPS_GAAP,BEST_EPS_MEDIAN,BEST_EPS_NUMEST,BEST_NET_DEBT,BEST_NET_INCOME,BEST_OPP,BEST_PEG_RATIO,BEST_PE_RATIO_GAAP,BEST_ROE,BEST_SALES,BEST_TARGET_PRICE,BETA_ADJ_OVERRIDABLE,BETA_STD_DEV_ERR_OVERRIDABLE,BLOOMBERG_ISSUER_DEFAULT_SCORE,CAPITAL_EXPEND,CAP_EXPEND_RATIO,CASH_RATIO,CFO_TO_AVG_CURRENT_LIABILITIES,CF_CASH_FROM_OPER,CF_FREE_CASH_FLOW,COUNTRY_RISK_DIVIDEND_YIELD,COUNTRY_RISK_GROWTH_RATE,COUNTRY_RISK_MARKET_RETURN,COUNTRY_RISK_PAYOUT_RATIO,COUNTRY_RISK_PREMIUM,CUR_RATIO,DEBT_TO_MKT_CAP,EARN_FOR_COMMON,EBITDA,EBITDA_TO_INTEREST_EXPN,EBITDA_TO_REVENUE,EBIT_TO_INT_EXP,ENTERPRISE_VALUE,EQY_FLOAT,EQY_REC_CONS,EQY_WEIGHTED_AVG_PX,EST_PE_CUR_YR,EV_TO_T12M_SALES,FCF_TO_TOTAL_DEBT,FREE_CASH_FLOW_YIELD,GROSS_MARGIN,GROSS_PROFIT,HISTORICAL_MARKET_CAP,IS_DIL_EPS_CONT_OPS,LONG_TERM_PRICE_EARNINGS_RATIO,NET_DEBT,NET_DEBT_TO_CASHFLOW,NET_DEBT_TO_EBITDA,NET_INCOME_TO_COMMON_MARGIN,NUM_TRADES,PE_RATIO,PRICE_TO_COMPARABLE_EPS,PX_ASK,PX_BID,PX_ERN_RATIO_WITH_LOW_CLOS_PX,PX_HIGH,PX_LAST,PX_LOW,PX_MID,PX_OFFICIAL_CLOSE,PX_OPEN,PX_TO_CASH_FLOW,PX_TO_EBITDA,PX_TO_EPS_BEFORE_ABNORMAL_ITEMS,PX_TO_FREE_CASH_FLOW,PX_TO_SALES_RATIO,PX_TO_TANG_BV_PER_SH,PX_VOLUME,QUICK_RATIO,REL_SHR_PX_MOMENTUM,RISK_PREMIUM,RSK_BB_IMPLIED_CDS_SPREAD,SALES_GROWTH,SALES_REV_TURN,SHORT_AND_LONG_TERM_DEBT,T12M_DIL_PE_CONT_OPS,TOTAL_DEBT_TO_EV,TOT_ANALYST_REC,TOT_BUY_REC,TOT_DEBT_TO_COM_EQY,TOT_DEBT_TO_TOT_ASSET,TOT_HOLD_REC,TOT_SELL_REC,VAR_SWAP_12M_LV,VOLATILITY_20D,VOLATILITY_260D,VOLATILITY_30D,VOLATILITY_360D,VOLATILITY_90D,VWAP_VOLUME,WACC_COST_DEBT,WACC_COST_EQUITY,Variavel_resposta
04/01/2010 00:00,AMZN US Equity,0.1715,13.6285,0.000036963,0.000824824,0.002652031,0.005013748,0.00762683,4.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.684,1.0592,0.0586,2,-137,19.0511,0.8645,0.5437,2610,2473,1.8906,10.2335,10.3891,29.7606,6.5736,1.3304,0.0068,384,588,73.5,6.1771,59.5,53753.88,335.37,4.182,134.3343,0,2.1933,7.4275,4.9624,20.7585,1976,59726.88,0.8514,252.4241,-5973,-1.8144,-3.9348,4.034,0,63.7807,65.9606,133.89,133.84,63.7807,136.61,133.9,133.14,133.865,0,136.25,17.8448,38.3023,62.3873,20.1517,2.3726,14.7779,7600543,0.9986,34.614,6.6138,15,41.9899,9519,393,63.7807,0.0073,33,21,7.4757,2.8451,11,1,0,30.306,50.813,30.699,62.903,51.529,7526997,3.2031,10.4506,
05/01/2010 00:00,AMZN US Equity,0.1726,13.6285,0.000035762,0.000805183,0.002601824,0.004930164,0.007515424,4.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.053,1.0593,0.0586,2,-137,19.0511,0.8645,0.5437,2610,2473,1.8836,10.2093,10.2876,29.755,6.5267,1.3304,0.0067,384,588,73.5,6.1771,59.5,53753.88,335.37,4.182,134.0977,0,2.1933,7.4275,4.9333,20.7585,1976,59726.88,0.8514,253.9134,-5973,-1.8144,-3.9348,4.034,0,64.157,66.3498,134.75,134.71,64.157,135.479,134.69,131.81,134.73,0,133.43,17.9501,38.5283,62.7554,20.2706,2.3866,14.8651,8856456,0.9986,34.798,6.6138,15,41.9899,9519,393,64.157,0.0073,33,21,7.4757,2.8451,11,1,0,28.984,50.771,30.708,62.899,51.529,8842893,3.2031,10.4506,
06/01/2010 00:00,AMZN US Equity,0.1685,13.6285,0.000034838,0.000792826,0.002572963,0.004885108,0.007457951,4.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.053,1.0592,0.0586,2,-137,19.0511,0.8645,0.5437,2610,2473,1.883,10.2467,10.2755,29.7535,6.454,1.3304,0.0069,384,588,73.5,6.1771,59.5,53753.88,335.37,4.182,132.7972,0,2.1933,7.4275,5.0243,20.7585,1976,59726.88,0.8514,249.3136,-5973,-1.8144,-3.9348,4.034,0,62.9948,65.1478,132.31,132.25,62.9948,134.73,132.25,131.65,132.28,0,134.6,17.625,37.8303,61.6185,19.9034,2.3434,14.5958,7180977,0.9986,34.778,6.6138,14,41.9899,9519,393,62.9948,0.0073,33,21,7.4757,2.8451,11,1,0,29.781,50.817,30.307,62.921,51.525,7085745,3.2031,10.4506,
07/01/2010 00:00,AMZN US Equity,0.164,13.6285,0.000035751,0.000804006,0.002597814,0.004922404,0.007504142,4.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.053,1.059,0.0586,2,-137,19.0511,0.8645,0.5437,2610,2473,1.8752,10.1102,10.2856,29.7362,6.4621,1.3304,0.007,384,588,73.5,6.1771,59.5,53753.88,335.37,4.182,130.127,0,2.1933,7.4275,5.1112,20.7585,1976,59726.88,0.8514,245.072,-5973,-1.8144,-3.9348,4.034,0,61.923,64.0394,130.01,129.96,61.923,132.32,130,128.8,129.985,0,132.01,17.3251,37.1867,60.5702,19.5648,2.3035,14.3475,11030124,0.9986,34.288,6.6138,15,41.9899,9519,393,61.923,0.0073,33,21,7.4757,2.8451,11,1,0,29.425,50.859,30.73,62.837,51.498,10983660,3.2031,10.4506,
08/01/2010 00:00,AMZN US Equity,0.1669,13.6285,0.00003434,0.000786666,0.002559229,0.004864467,0.007432368,4.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.053,1.0595,0.0587,2,-137,19.0511,0.8645,0.5437,2610,2473,1.8696,10.1552,10.295,29.7937,6.4653,1.3304,0.0068,384,588,73.5,6.1771,59.5,53753.88,335.37,4.182,131.559,0,2.1933,7.4275,4.9765,20.7585,1976,59726.88,0.8514,251.7078,-5973,-1.8144,-3.9348,4.034,0,63.5997,65.7734,133.6,133.54,63.5997,133.68,133.52,129.03,133.57,0,130.56,17.7942,38.1936,62.2103,20.0945,2.3659,14.736,9833829,0.9986,34.108,6.6138,14,41.9899,9519,393,63.5997,0.0073,33,21,7.4757,2.8451,11,1,0,28.874,50.656,31.717,62.862,51.352,9823483,3.2031,10.4506,
11/01/2010 00:00,AMZN US Equity,0.1799,13.6285,0.000034656,0.000790048,0.002566065,0.004873856,0.007443154,4.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.053,1.0607,0.0586,2,-137,19.0511,0.8645,0.5437,2610,2473,1.8666,10.1007,10.298,29.7777,6.4799,1.3304,0.007,384,588,73.5,6.1771,59.5,53753.88,335.37,4.182,130.1903,0,2.1933,7.4275,5.0991,20.7585,1976,59726.88,0.8514,245.6526,-5973,-1.8144,-3.9348,4.034,0,62.0697,64.1911,130.35,130.27,62.0697,132.8,130.308,129.21,130.31,0,132.62,17.3661,37.2748,60.7137,19.6111,2.309,14.3815,8786668,0.9986,33.297,6.6138,15,41.9899,9519,393,62.0697,0.0073,33,21,7.4757,2.8451,11,1,0,30.039,50.68,32.142,62.886,51.512,8761542,3.2031,10.4506,
12/01/2010 00:00,AMZN US Equity,0.1754,13.6285,0.000035898,0.000805479,0.002600665,0.004926159,0.00750829,4.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.053,1.0608,0.0587,2,-137,19.0511,0.8645,0.5437,2610,2473,1.8876,10.1352,10.3355,29.8236,6.6247,1.3304,0.0071,384,588,73.5,6.1771,59.5,53753.88,335.37,4.147,127.8023,0,2.1933,7.4275,5.2176,20.7585,1976,59726.88,0.8514,240.0763,-5973,-1.8144,-3.9348,4.034,0,60.6607,62.734,127.4,127.32,60.6607,129.82,127.35,126.55,127.36,0,128.99,16.9719,36.4287,59.3355,19.1659,2.2566,14.055,9098190,0.9986,32.822,6.6138,16,41.9899,9519,393,60.6607,0.0073,34,21,7.4757,2.8451,12,1,0,30.243,50.746,31.285,62.809,51.745,8984779,3.2031,10.4506,
13/01/2010 00:00,AMZN US Equity,0.176,13.6285,0.000035161,0.00079648,0.002580681,0.00489618,0.007471172,4.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.053,1.0609,0.0586,2,-137,19.0511,0.8645,0.5437,2610,2473,1.8741,10.1583,10.3277,29.8274,6.5369,1.3304,0.007,384,588,73.5,6.1771,59.5,53753.88,335.37,4.147,127.8736,0,2.1933,7.4275,5.1465,20.7585,1976,59726.88,0.8514,243.3942,-5973,-1.8144,-3.9348,4.034,0,61.4991,63.601,129.17,129.11,61.4991,129.71,129.11,125.75,129.14,0,127.902,17.2065,36.9321,60.1555,19.4308,2.2878,14.2493,10727856,0.9986,32.49,6.6138,16,41.9899,9519,393,61.4991,0.0073,34,21,7.4757,2.8451,12,1,0,30.619,50.456,30.998,62.36,51.764,10716654,3.2031,10.4506,
14/01/2010 00:00,AMZN US Equity,0.1724,13.6285,0.000034188,0.000783544,0.0025506,0.004849414,0.007411701,4.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.632,1.0608,0.0586,2,-137,19.0511,0.8645,0.5437,2610,2473,1.8695,10.1383,10.2622,29.8287,6.524,1.3304,0.0071,384,588,73.5,6.1771,59.5,53753.88,335.37,4.147,127.6952,0,2.1933,7.4275,5.2176,20.7585,1976,59726.88,0.8514,240.0763,-5973,-1.8144,-3.9348,4.034,0,60.6607,62.734,127.37,127.18,60.6607,130.38,127.35,126.4,127.275,0,129.14,16.9719,36.4287,59.3355,19.1659,2.2566,14.055,9788435,0.9986,31.894,6.6138,15,41.9899,9519,393,60.6607,0.0073,34,21,7.4757,2.8451,12,1,0,30.571,50.477,29.811,62.366,51.752,9765100,3.2031,10.4506,
15/01/2010 00:00,AMZN US Equity,0.1753,13.6285,0.00003253,0.000761789,0.002500539,0.004772345,0.007314438,4.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.4,1.0601,0.0586,2,-137,19.0511,0.8645,0.5437,2610,2473,1.8911,10.0246,10.2438,29.7955,6.5694,1.3304,0.0071,384,588,73.5,6.1771,59.5,53753.88,335.37,4.171,128.2131,0,2.1933,7.4275,5.2262,20.7585,1976,59726.88,0.8514,239.6804,-5973,-1.8144,-3.9348,4.034,0,60.5607,62.6305,127.15,127.14,60.5607,129.65,127.14,127.06,127.145,0,129.18,16.9439,36.3686,59.2377,19.1343,2.2529,14.0319,15382763,0.9986,31.68,6.6138,15,41.9899,9519,393,60.5607,0.0073,35,22,7.4757,2.8451,12,1,0,30.279,50.165,29.794,62.364,51.728,15351294,3.2031,10.4506,
